question_id,prompt,A,B,C,D,E,answer,difficulty,topic
1,What is the output of 2 + 3 * 4?,14,20,10,12,16,A,0.1,Math
2,Which of the following is not a valid Python data type?,int,list,tuple,array,dict,D,0.2,Python
3,Which library is commonly used for data manipulation in Python?,numpy,pandas,matplotlib,sklearn,requests,B,0.2,Python
4,In machine learning  what does 'overfitting' mean?,Model performs well on training data but poorly on test data,Model performs poorly on both training and test data,Model has too few features,Model is trained for too few epochs,Model uses incorrect loss function,A,0.4,Machine Learning
5,Which activation function is commonly used in binary classification problems?,ReLU,Sigmoid,Tanh,Softmax,Linear,B,0.5,Machine Learning
6,What is the range of the sigmoid function?,"(-∞, ∞)","(0, 1)","[-1, 1]","[0, 1]","(-1, 1)",B,0.3,Machine Learning
7,Which of the following is not a supervised learning algorithm?,Linear Regression,K-Means,Decision Tree,Random Forest,Logistic Regression,B,0.4,Machine Learning
8,What is the purpose of a validation set in ML?,To train the model,To test final performance,To tune hyperparameters,To collect more data,To visualize results,C,0.3,Machine Learning
9,Which Python keyword is used to define a function?,def,class,return,import,lambda,A,0.1,Python
10,What is the result of list(range(3)) in Python?,"[0, 1, 2]","[1, 2, 3]","[0, 1, 2, 3]",[2],None,A,0.1,Python
11,What is the derivative of x²?,x,2x,2,½x,x³,B,0.4,Math
12,Which method is used to find the mean of a NumPy array?,np.average(),np.mean(),np.sum() / len(),All of the above,None of the above,D,0.3,Python
13,What is the purpose of cross-validation?,Reduce training time,Improve model interpretability,Estimate model performance on unseen data,Increase dataset size,Prevent underfitting,C,0.4,Machine Learning
14,What does the acronym RMSE stand for?,Root Mean Squared Error,Residual Mean Square Estimator,Relative Model Squared Error,Rooted Mean Standard Error,Rate of Mean Square Error,A,0.5,Machine Learning
15,Which sorting algorithm has an average-case complexity of O(n log n)?,Bubble Sort,Insertion Sort,Quick Sort,Selection Sort,All of the above,C,0.6,Python
16,Which of the following is a clustering algorithm?,KNN,SVM,KMeans,PCA,Naive Bayes,C,0.5,Machine Learning
17,What is the value of f(x) = 2x + 3 when x = 4?,10,11,12,13,14,B,0.1,Math
18,"What is the output of print(len([1,2,3]))",1,2,3,4,Error,C,0.1,Python
19,What is the purpose of gradient descent in ML?,To increase accuracy,To reduce error by updating weights,To generate new features,To compress data,To improve visualization,B,0.5,Machine Learning
20,What is the equation of a line with slope m and y-intercept b?,y = mx + b,y = bx + m,y = mx - b,y = m/x + b,y = b/m + x,A,0.2,Math
21,Which of the following is not a hyperparameter in neural networks?,Learning rate,Batch size,Epochs,Number of layers,Activation values,E,0.6,Machine Learning
22,Which of the following functions is used to handle missing values in pandas?,dropna(),fillna(),replace(),Both A and B,All of the above,E,0.3,Python
23,Which of the following is true about unsupervised learning?,It uses labeled data,It finds hidden patterns in unlabeled data,It requires human supervision,It always produces numerical outputs,It is used for regression tasks,B,0.4,Machine Learning
24,What is the default base of the math.log() function in Python?,e,10,2,π,Not defined,A,0.3,Python
25,What does the 'bias-variance tradeoff' refer to in ML?,Tradeoff between model speed and memory usage,Tradeoff between overfitting and underfitting,Tradeoff between precision and recall,Tradeoff between training and testing time,Tradeoff between feature selection and model building,B,0.6,Machine Learning
26,What is the role of a cost function in machine learning?,To measure how fast the model runs,To evaluate model performance,To calculate prediction confidence,To normalize input data,To store intermediate results,B,0.5,Machine Learning
27,Which of the following is a correct way to create a dictionary in Python?,"d = {1, 2}",d = [1:2],d = {1=2},d = {1:2},d = (1:2),D,0.2,Python
28,Which of the following is not a built-in Python data structure?,List,Dictionary,String,Queue,Set,D,0.3,Python
29,What is the primary use of PCA in machine learning?,Classification,Clustering,Dimensionality reduction,Regression,Data cleaning,C,0.5,Machine Learning
30,What is the output of 5 // 2 in Python?,2,2.5,3,1,2,A,0.1,Math
31,Which of the following is used to standardize features in sklearn?,StandardScaler,MinMaxScaler,Normalizer,OneHotEncoder,LabelEncoder,A,0.4,Machine Learning
32,What is the value of 2^5 in Python?,10,25,32,16,30,C,0.2,Math
33,Which of the following statements is true about deep learning?,It only works with small datasets,It uses shallow networks,It involves multiple hidden layers,It doesn't require GPUs,It is slower than logistic regression,C,0.5,Machine Learning
34,Which of the following is a linear algebra library in Python?,pandas,numpy,matplotlib,seaborn,scikit-learn,B,0.3,Python
35,What is the formula for variance?,Σ(x - μ)/n,Σ(x - μ)^2 /n,Σ|x - μ|/n,Σ(x - μ)^3/n,Σ(x - μ)^2/n^2,B,0.6,Math
36,Which of the following is used to encode categorical variables in scikit-learn?,StandardScaler,MinMaxScaler,OneHotEncoder,PCA,SimpleImputer,C,0.4,Machine Learning
37,"What is the output of print(""Hello""[1]) in Python?",H,e,l,l,o,B,0.1,Python
38,Which of the following is not a loss function used in neural networks?,Mean Squared Error,Cross Entropy Loss,Hinge Loss,ReLU Loss,Log Loss,D,0.6,Machine Learning
39,What is the output of 10 % 3 in Python?,1,3,0,2,4,A,0.1,Math
40,Which of the following is a regression evaluation metric?,Accuracy,Precision,F1 Score,MSE,Recall,D,0.4,Machine Learning
